		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   19   22   23   23   31   27   24   25  3.799288 0.874763 SUCCESS   0
000000011   30   19   24   30   22   25   21   40 14.960930 0.059910 SUCCESS   1
000000101   17   27   25   17   27   24   26   19  6.576955 0.582885 SUCCESS   2
000000111   27   23   22   25   30   18   28   28  4.791596 0.779601 SUCCESS   3
000001001   21   22   26   23   26   21   15   25  5.280137 0.727258 SUCCESS   4
000001011   15   25   30   20   25   27   26   19  7.552052 0.478402 SUCCESS   5
000001101   24   28   23   28   32   13   24   31 10.994347 0.202020 SUCCESS   6
000001111   28   27   21   19   27   26   25   27  3.257789 0.917154 SUCCESS   7
000010001   21   20   25   31   21   16   26   28  7.306457 0.503958 SUCCESS   8
000010011   21   25   26   25   25   30   25   29  2.885756 0.941321 SUCCESS   9
000010101   21   21   29   27   19   21   24   24  3.899909 0.866039 SUCCESS  10
000010111   26   22   23   20   25   22   25   19  2.763952 0.948286 SUCCESS  11
000011001   31   23   25   25   16   24   30   30  7.613616 0.472093 SUCCESS  12
000011011   19   24   19   24   23   20   28   28  4.484437 0.810988 SUCCESS  13
000011101   27   26   16   24   21   21   26   28  5.027261 0.754659 SUCCESS  14
000011111   33   33   19   21   26   26   25   22  8.469556 0.388996 SUCCESS  15
000100011   31   24   30   29   26   27   25   21  4.979598 0.759754 SUCCESS  16
000100101   26   17   22   19   29   22   15   25  8.804517 0.359054 SUCCESS  17
000100111   28   26   22   22   27   25   31   19  4.528790 0.806546 SUCCESS  18
000101001   22   24   25   29   26   31   22   15  7.103891 0.525466 SUCCESS  19
000101011   23   20   26   25   22   20   28   22  2.883108 0.941477 SUCCESS  20
000101101   19   23   33   32   22   21   23   31  9.562484 0.297085 SUCCESS  21
000101111   30   25   21   27   27   22   29   24  3.555018 0.894878 SUCCESS  22
000110011   20   34   33   34   18   31   24   23 15.436231 0.051198 SUCCESS  23
000110101   21   15   23   22   27   23   17   25  7.262105 0.508636 SUCCESS  24
000110111   27   30   22   25   30   25   20   28  4.589030 0.800461 SUCCESS  25
000111001   30   26   28   21   24   29   23   24  3.470284 0.901484 SUCCESS  26
000111011   31   24   21   28   24   24   27   30  4.521508 0.807277 SUCCESS  27
000111101   22   30   12   22   25   23   20   17 11.566297 0.171629 SUCCESS  28
000111111   34   27   31   21   24   21   21   30  8.842912 0.355721 SUCCESS  29
001000011   23   27   20   16   22   21   27   22  5.440998 0.709568 SUCCESS  30
001000101   13   23   17   32   29   24   30   28 13.137175 0.107216 SUCCESS  31
001000111   23   30   25   29   31   29   25   22  5.327138 0.722107 SUCCESS  32
001001011   26   18   28   19   24   26   18   25  5.492633 0.703856 SUCCESS  33
001001101   20   26   29   26   19   19   22   25  4.662510 0.792963 SUCCESS  34
001001111   24   29   25   21   27   33   32   21  7.767195 0.456535 SUCCESS  35
001010011   25   25   25   24   22   25   15   13  9.558512 0.297389 SUCCESS  36
001010101   30   21   30   28   30   26   28   25  5.700494 0.680740 SUCCESS  37
001010111   28   21   17   29   31   28   25   28  7.215766 0.513542 SUCCESS  38
001011011   30   28   27   23   22   22   21   28  3.774795 0.876849 SUCCESS  39
001011101   24   18   32   19   28   16   30   31 12.137586 0.145170 SUCCESS  40
001011111   28   22   25   21   22   26   26   16  4.747243 0.784218 SUCCESS  41
001100101   32   29   19   29   23   18   26   21  7.892309 0.444060 SUCCESS  42
